# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	EDITID	INFERRED_CLASS
2988	165	dhūmá	thuv	tʱuv	Romani	tʱ u v	1 7 3	AXN	TYB	14	14.T.C 14.Y.V 14.B.c	2.0 1.5 0.8	0	321	dhūmá:321
#
3187	177	diná,	diná,	dɪn	Sanskrit	d ɪ n	1 7 4	AXN	TIN	15	15.T.C 15.I.V 15.N.c	2.0 1.5 0.8	0	329	diná,:329
3188	177	diná,	diva,	ˈdiːvə	Pali	ˈd iː v ə	1 7 3 7	AXBZ	TIBE	12	12.T.C 12.I.V 12.B.C 12.E.V	2.0 1.5 1.75 0.8	0	340	diná,:340
3189	177	diná,	din	dɪn	Hindi	d ɪ n	1 7 4	AXN	TIN	6	6.T.C 6.I.V 6.N.c	2.0 1.5 0.8	0	329	diná,:329
3190	177	diná,	din	dann	Urdu	d a nn	1 7 4	AXN	TAN	18	18.T.C 18.A.V 18.N.c	2.0 1.5 0.8	0	329	diná,:329
3191	177	diná,	dina	dɪn	Nepali	d ɪ n	1 7 4	AXN	TIN	10	10.T.C 10.I.V 10.N.c	2.0 1.5 0.8	0	329	diná,:329
3192	177	diná,	din	dɪn	Bhojpuri	d ɪ n	1 7 4	AXN	TIN	3	3.T.C 3.I.V 3.N.c	2.0 1.5 0.8	0	329	diná,:329
3193	177	diná,	din	None	Punjabi	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	335	diná,:335
3194	177	diná,	ᶑīhũ	None	Sindhi	N o n e	0 7 4 7	AXBZ	0UNE	16	16.0.C 16.U.V 16.N.C 16.E.V	2.0 1.5 1.75 0.8	1	335	diná,:335
3195	177	diná,	divas	ˈdɪʋəs	Gujarati	ˈd ɪ ʋ ə s	1 7 6 7 3	AXBYN	TIWES	5	5.T.C 5.I.V 5.W.C 5.E.V 5.S.c	2.0 1.5 1.75 1.3 0.8	0	332	diná,:332
3196	177	diná,	divas	dɪʋəs	Marathi	d ɪ ʋ ə s	1 7 6 7 3	AXBYN	TIWES	9	9.T.C 9.I.V 9.W.C 9.E.V 9.S.c	2.0 1.5 1.75 1.3 0.8	0	332	diná,:332
3197	177	diná,	dīs	None	Konkani	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	1	335	diná,:335
3198	177	diná,	din	din	Assamese	d i n	1 7 4	AXN	TIN	1	1.T.C 1.I.V 1.N.c	2.0 1.5 0.8	0	329	diná,:329
3199	177	diná,	din	din	Bengali	d i n	1 7 4	AXN	TIN	2	2.T.C 2.I.V 2.N.c	2.0 1.5 0.8	0	329	diná,:329
3200	177	diná,	dinô	dinɔ	Oriya	d i n ɔ	1 7 4 7	AXBZ	TINU	11	11.T.C 11.I.V 11.N.C 11.U.V	2.0 1.5 1.75 0.8	0	329	diná,:329
3201	177	diná,	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	335	diná,:335
3202	177	diná,	dawasa,	None	Sinhalese	N o n e	0 7 4 7	AXBZ	0UNE	17	17.0.C 17.U.V 17.N.C 17.E.V	2.0 1.5 1.75 0.8	1	335	diná,:335
3203	177	diná,	duvas	duʋəs	Dhivehi	d u ʋ ə s	1 7 6 7 3	AXBYN	TYWES	4	4.T.C 4.Y.V 4.W.C 4.E.V 4.S.c	2.0 1.5 1.75 1.3 0.8	0	332	diná,:332
3204	177	diná,	dives	ˈdaɪvz	Romani	ˈd aɪ v z	1 7 3 3	AXLN	TABS	14	14.T.C 14.A.V 14.B.c 14.S.c	2.0 1.5 1.1 0.8	0	340	diná,:340
#
397	22	dví	dví	dví	Sanskrit	d v í	1 3 7	ACX	TBI	15	15.T.C 15.B.C 15.I.V	2.0 1.5 1.5	0	343	dví:343
398	22	dví	dve	dʋêː	Pali	d ʋ êː	1 6 7	ACX	TWE	12	12.T.C 12.W.C 12.E.V	2.0 1.5 1.5	0	343	dví:343
399	22	dví	do	doː	Hindi	d oː	1 7	AX	TU	6	6.T.C 6.U.V	2.0 1.5	0	343	dví:343
400	22	dví	do	du	Urdu	d u	1 7	AX	TY	18	18.T.C 18.Y.V	2.0 1.5	0	343	dví:343
401	22	dví	duī	dui	Nepali	d ui	1 7	AX	TY	10	10.T.C 10.Y.V	2.0 1.5	0	343	dví:343
402	22	dví	du	du	Bhojpuri	d u	1 7	AX	TY	3	3.T.C 3.Y.V	2.0 1.5	0	343	dví:343
403	22	dví	do	doː	Punjabi	d oː	1 7	AX	TU	13	13.T.C 13.U.V	2.0 1.5	0	343	dví:343
404	22	dví	ɓa	ɓa	Sindhi	ɓ a	1 7	AX	PA	16	16.P.C 16.A.V	2.0 1.5	0	356	dví:356
405	22	dví	be	be	Gujarati	b e	1 7	AX	PE	5	5.P.C 5.E.V	2.0 1.5	0	345	dví:345
406	22	dví	don	don	Marathi	d o n	1 7 4	AXN	TUN	9	9.T.C 9.U.V 9.N.c	2.0 1.5 0.8	0	343	dví:343
407	22	dví	don	don	Konkani	d o n	1 7 4	AXN	TUN	8	8.T.C 8.U.V 8.N.c	2.0 1.5 0.8	0	343	dví:343
408	22	dví	dui	dui	Assamese	d ui	1 7	AX	TY	1	1.T.C 1.Y.V	2.0 1.5	0	343	dví:343
409	22	dví	dui	dui	Bengali	d ui	1 7	AX	TY	2	2.T.C 2.Y.V	2.0 1.5	0	343	dví:343
410	22	dví	dui	dui	Oriya	d ui	1 7	AX	TY	11	11.T.C 11.Y.V	2.0 1.5	0	343	dví:343
411	22	dví	zụ	zɨ	Kashmiri	z ɨ	3 7	AX	SI	7	7.S.C 7.I.V	2.0 1.5	0	347	dví:347
412	22	dví	deka	deka	Sinhalese	d e k a	1 7 1 7	AXBZ	TEKA	17	17.T.C 17.E.V 17.K.C 17.A.V	2.0 1.5 1.75 0.8	0	343	dví:343
413	22	dví	dēṣ̊	diēṣ̊	Dhivehi	d i ē ṣ̊	1 7 7 3	AXYN	TIES	4	4.T.C 4.I.V 4.E.V 4.S.c	2.0 1.5 1.3 0.8	0	343	dví:343
414	22	dví	duj	duj	Romani	d u j	1 7 6	AXN	TYJ	14	14.T.C 14.Y.V 14.J.c	2.0 1.5 0.8	0	343	dví:343
#
2287	127	dádāti	dádāti	dɐdɑːti	Sanskrit	d ɐ d ɑː t i	1 7 1 7 1 7	AXBYBZ	TETATI	15	15.T.C 15.E.V 15.T.C 15.A.V 15.T.C 15.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	368	dádāti:368
2288	127	dádāti	dadāti	dɐdɑːti	Pali	d ɐ d ɑː t i	1 7 1 7 1 7	AXBYBZ	TETATI	12	12.T.C 12.E.V 12.T.C 12.A.V 12.T.C 12.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	368	dádāti:368
2289	127	dádāti	denā	deːnɑː	Hindi	d eː n ɑː	1 7 4 7	AXBZ	TENA	6	6.T.C 6.E.V 6.N.C 6.A.V	2.0 1.5 1.75 0.8	0	360	dádāti:360
2290	127	dádāti	denā	deːnɑː	Urdu	d eː n ɑː	1 7 4 7	AXBZ	TENA	18	18.T.C 18.E.V 18.N.C 18.A.V	2.0 1.5 1.75 0.8	0	360	dádāti:360
2291	127	dádāti	dinu	dinu	Nepali	d i n u	1 7 4 7	AXBZ	TINY	10	10.T.C 10.I.V 10.N.C 10.Y.V	2.0 1.5 1.75 0.8	0	360	dádāti:360
2292	127	dádāti	deve	deve	Bhojpuri	d e v e	1 7 3 7	AXBZ	TEBE	3	3.T.C 3.E.V 3.B.C 3.E.V	2.0 1.5 1.75 0.8	0	360	dádāti:360
2293	127	dádāti	deṇā	deɳɑː	Punjabi	d e ɳ ɑː	1 7 4 7	AXBZ	TENA	13	13.T.C 13.E.V 13.N.C 13.A.V	2.0 1.5 1.75 0.8	0	360	dádāti:360
2294	127	dádāti	diaṇu	diaɳu:	Sindhi	d ia ɳ u:	1 7 4 7	AXBZ	TINY	16	16.T.C 16.I.V 16.N.C 16.Y.V	2.0 1.5 1.75 0.8	0	360	dádāti:360
2295	127	dádāti	āpavũ	ɑːpavũ:	Gujarati	ɑː p a v ũ:	7 1 7 3 7	XBYBZ	APABY	5	5.A.V 5.P.C 5.A.V 5.B.C 5.Y.V	1.5 1.75 1.3 1.75 0.8	0	361	dádāti:361
2296	127	dádāti	deṇe	dene	Marathi	d e n e	1 7 4 7	AXBZ	TENE	9	9.T.C 9.E.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	0	360	dádāti:360
2297	127	dádāti	dān	dɑːn	Konkani	d ɑː n	1 7 4	AXN	TAN	8	8.T.C 8.A.V 8.N.c	2.0 1.5 0.8	0	360	dádāti:360
2298	127	dádāti	de	dɛ	Assamese	d ɛ	1 7	AX	TE	1	1.T.C 1.E.V	2.0 1.5	0	357	dádāti:357
2299	127	dádāti	dettẏa	dettẏeɪ	Bengali	d e tt ẏ eɪ	1 7 1 0 7	AXMBZ	TET0E	2	2.T.C 2.E.V 2.T.c 2.0.C 2.E.V	2.0 1.5 1.1 1.75 0.8	0	360	dádāti:360
2300	127	dádāti	deba	deba	Oriya	d e b a	1 7 1 7	AXBZ	TEPA	11	11.T.C 11.E.V 11.P.C 11.A.V	2.0 1.5 1.75 0.8	0	360	dádāti:360
2301	127	dádāti	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	363	dádāti:363
2302	127	dádāti	denawā	denawā	Sinhalese	d e n a w ā	1 7 4 7 6 7	AXBYBZ	TENAWA	17	17.T.C 17.E.V 17.N.C 17.A.V 17.W.C 17.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	360	dádāti:360
2303	127	dádāti	dinun̊	dinun̊	Dhivehi	d i n u n̊	1 7 4 7 4	AXBYN	TINYN	4	4.T.C 4.I.V 4.N.C 4.Y.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	360	dádāti:360
2304	127	dádāti	del	dɛl	Romani	d ɛ l	1 7 5	AXN	TEL	14	14.T.C 14.E.V 14.L.c	2.0 1.5 0.8	0	357	dádāti:357
#
3565	198	dákṣiṇa	dákṣiṇa	dəkʂɪɳ	Sanskrit	d ə k ʂ ɪ ɳ	1 7 1 3 7 4	AXBCYN	TEKSIN	15	15.T.C 15.E.V 15.K.C 15.S.C 15.I.V 15.N.c	2.0 1.5 1.75 1.5 1.3 0.8	0	383	dákṣiṇa:383
3566	198	dákṣiṇa	dakhiṇa	None	Pali	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3567	198	dákṣiṇa	dāyā̃,	dɑːjɑː	Hindi	d ɑː j ɑː	1 7 6 7	AXBZ	TAJA	6	6.T.C 6.A.V 6.J.C 6.A.V	2.0 1.5 1.75 0.8	0	371	dákṣiṇa:371
3568	198	dákṣiṇa	dāyā̃,	dɑːjɑː	Urdu	d ɑː j ɑː	1 7 6 7	AXBZ	TAJA	18	18.T.C 18.A.V 18.J.C 18.A.V	2.0 1.5 1.75 0.8	0	371	dákṣiṇa:371
3569	198	dákṣiṇa	dāhine,	dɑːɦɪneː	Nepali	d ɑː ɦ ɪ n eː	1 7 3 7 4 7	AXBYBZ	TAHINE	10	10.T.C 10.A.V 10.H.C 10.I.V 10.N.C 10.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	371	dákṣiṇa:371
3570	198	dákṣiṇa	dāyā̃	dɑːjɑː	Bhojpuri	d ɑː j ɑː	1 7 6 7	AXBZ	TAJA	3	3.T.C 3.A.V 3.J.C 3.A.V	2.0 1.5 1.75 0.8	0	371	dákṣiṇa:371
3571	198	dákṣiṇa	sajjā	None	Punjabi	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3572	198	dákṣiṇa	saʄo	None	Sindhi	N o n e	0 7 4 7	AXBZ	0UNE	16	16.0.C 16.U.V 16.N.C 16.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3573	198	dákṣiṇa	jamṇũ	None	Gujarati	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3574	198	dákṣiṇa	uj̈ve	udzʋe	Marathi	u d z ʋ e	7 1 3 6 7	XBCCZ	YTSWE	9	9.Y.V 9.T.C 9.S.C 9.W.C 9.E.V	1.5 1.75 1.5 1.5 0.8	0	377	dákṣiṇa:377
3575	198	dákṣiṇa	ujvo	None	Konkani	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3576	198	dákṣiṇa	xü̃	xʊ	Assamese	x ʊ	3 7	AX	GY	1	1.G.C 1.Y.V	2.0 1.5	0	369	dákṣiṇa:369
3577	198	dákṣiṇa	ḍan	None	Bengali	N o n e	0 7 4 7	AXBZ	0UNE	2	2.0.C 2.U.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3578	198	dákṣiṇa	ḍahaṇô	None	Oriya	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3579	198	dákṣiṇa	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3580	198	dákṣiṇa	dakuṇu	None	Sinhalese	N o n e	0 7 4 7	AXBZ	0UNE	17	17.0.C 17.U.V 17.N.C 17.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3581	198	dákṣiṇa	kanāi	None	Dhivehi	N o n e	0 7 4 7	AXBZ	0UNE	4	4.0.C 4.U.V 4.N.C 4.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
3582	198	dákṣiṇa	chacho	None	Romani	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	370	dákṣiṇa:370
#
1369	76	dánta	dánta	dɐntɐ	Sanskrit	d ɐ n t ɐ	1 7 4 1 7	AXMBZ	TENTE	15	15.T.C 15.E.V 15.N.c 15.T.C 15.E.V	2.0 1.5 1.1 1.75 0.8	0	396	dánta:396
1370	76	dánta	danta	danta	Pali	d a n t a	1 7 4 1 7	AXMBZ	TANTA	12	12.T.C 12.A.V 12.N.c 12.T.C 12.A.V	2.0 1.5 1.1 1.75 0.8	0	396	dánta:396
1371	76	dánta	dā̃t	dɑːt	Hindi	d ɑː t	1 7 1	AXN	TAT	6	6.T.C 6.A.V 6.T.c	2.0 1.5 0.8	0	396	dánta:396
1372	76	dánta	dānt	daːnt	Urdu	d aː n t	1 7 4 1	AXLN	TANT	18	18.T.C 18.A.V 18.N.c 18.T.c	2.0 1.5 1.1 0.8	0	396	dánta:396
1373	76	dánta	dā̃t	dɑːt	Nepali	d ɑː t	1 7 1	AXN	TAT	10	10.T.C 10.A.V 10.T.c	2.0 1.5 0.8	0	396	dánta:396
1374	76	dánta	dā̃t	dɑːt	Bhojpuri	d ɑː t	1 7 1	AXN	TAT	3	3.T.C 3.A.V 3.T.c	2.0 1.5 0.8	0	396	dánta:396
1375	76	dánta	dand	dənd	Punjabi	d ə n d	1 7 4 1	AXLN	TENT	13	13.T.C 13.E.V 13.N.c 13.T.c	2.0 1.5 1.1 0.8	0	396	dánta:396
1376	76	dánta	ᶑanda	ᶑanda	Sindhi	ᶑ a n d a	0 7 4 1 7	AXMBZ	0ANTA	16	16.0.C 16.A.V 16.N.c 16.T.C 16.A.V	2.0 1.5 1.1 1.75 0.8	0	396	dánta:396
1377	76	dánta	dā̃t	dɑːt	Gujarati	d ɑː t	1 7 1	AXN	TAT	5	5.T.C 5.A.V 5.T.c	2.0 1.5 0.8	0	396	dánta:396
1378	76	dánta	dāt	dɑːt	Marathi	d ɑː t	1 7 1	AXN	TAT	9	9.T.C 9.A.V 9.T.c	2.0 1.5 0.8	0	396	dánta:396
1379	76	dánta	dānta	dɑːnt	Konkani	d ɑː n t	1 7 4 1	AXLN	TANT	8	8.T.C 8.A.V 8.N.c 8.T.c	2.0 1.5 1.1 0.8	0	396	dánta:396
1380	76	dánta	dãt	dãt	Assamese	d ã t	1 7 1	AXN	TAT	1	1.T.C 1.A.V 1.T.c	2.0 1.5 0.8	0	396	dánta:396
1381	76	dánta	dãtô	dãt	Bengali	d ã t	1 7 1	AXN	TAT	2	2.T.C 2.A.V 2.T.c	2.0 1.5 0.8	0	396	dánta:396
1382	76	dánta	dantô	dantɔ	Oriya	d a n t ɔ	1 7 4 1 7	AXMBZ	TANTU	11	11.T.C 11.A.V 11.N.c 11.T.C 11.U.V	2.0 1.5 1.1 1.75 0.8	0	396	dánta:396
1383	76	dánta	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	390	dánta:390
1384	76	dánta	data	data	Sinhalese	d a t a	1 7 1 7	AXBZ	TATA	17	17.T.C 17.A.V 17.T.C 17.A.V	2.0 1.5 1.75 0.8	0	396	dánta:396
1385	76	dánta	dat̊	dæt̊	Dhivehi	d æ t̊	1 7 1	AXN	TET	4	4.T.C 4.E.V 4.T.c	2.0 1.5 0.8	0	396	dánta:396
1386	76	dánta	dand	dənd	Romani	d ə n d	1 7 4 1	AXLN	TENT	14	14.T.C 14.E.V 14.N.c 14.T.c	2.0 1.5 1.1 0.8	0	396	dánta:396
#
1675	93	dáśati	dáśati	dɐɕɐti	Sanskrit	d ɐ ɕ ɐ t i	1 7 3 7 1 7	AXBYBZ	TESETI	15	15.T.C 15.E.V 15.S.C 15.E.V 15.T.C 15.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	400	dáśati:400
1676	93	dáśati	ḍasati	dɐɕɐti	Pali	d ɐ ɕ ɐ t i	1 7 3 7 1 7	AXBYBZ	TESETI	12	12.T.C 12.E.V 12.S.C 12.E.V 12.T.C 12.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	400	dáśati:400
1677	93	dáśati	kāṭnā	ˈkaːʈnaː	Hindi	ˈk aː ʈ n aː	1 7 1 4 7	AXBCZ	KATNA	6	6.K.C 6.A.V 6.T.C 6.N.C 6.A.V	2.0 1.5 1.75 1.5 0.8	0	399	dáśati:399
1678	93	dáśati	kāṭnā	ˈkaːʈnaː	Urdu	ˈk aː ʈ n aː	1 7 1 4 7	AXBCZ	KATNA	18	18.K.C 18.A.V 18.T.C 18.N.C 18.A.V	2.0 1.5 1.75 1.5 0.8	0	399	dáśati:399
1679	93	dáśati	ṭoknu	ʈoknu	Nepali	ʈ o k n u	1 7 1 4 7	AXBCZ	TUKNY	10	10.T.C 10.U.V 10.K.C 10.N.C 10.Y.V	2.0 1.5 1.75 1.5 0.8	0	403	dáśati:403
1680	93	dáśati	kāṭe	ˈkaːʈɛ	Bhojpuri	ˈk aː ʈ ɛ	1 7 1 7	AXBZ	KATE	3	3.K.C 3.A.V 3.T.C 3.E.V	2.0 1.5 1.75 0.8	0	399	dáśati:399
1681	93	dáśati	vaḍḍhaṇā	vaḍḍhaṇā	Punjabi	v a ḍḍ h a ṇ ā	3 7 1 3 7 4 7	AXBCYBZ	BATHANA	13	13.B.C 13.A.V 13.T.C 13.H.C 13.A.V 13.N.C 13.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	409	dáśati:409
1682	93	dáśati	cak	cak	Sindhi	c a k	1 7 1	AXN	CAK	16	16.C.C 16.A.V 16.K.c	2.0 1.5 0.8	0	401	dáśati:401
1683	93	dáśati	backũ	bækũ	Gujarati	b æ k ũ	1 7 1 7	AXBZ	PEKY	5	5.P.C 5.E.V 5.K.C 5.Y.V	2.0 1.5 1.75 0.8	0	401	dáśati:401
1684	93	dáśati	ċāvṇe	tsaʋɳe	Marathi	t s a ʋ ɳ e	1 3 7 6 4 7	ACXMBZ	TSAWNE	9	9.T.C 9.S.C 9.A.V 9.W.c 9.N.C 9.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	404	dáśati:404
1685	93	dáśati	cāvce	tsaʋne	Konkani	t s a ʋ n e	1 3 7 6 4 7	ACXMBZ	TSAWNE	8	8.T.C 8.S.C 8.A.V 8.W.c 8.N.C 8.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	404	dáśati:404
1686	93	dáśati	kamür	kamʊɹ	Assamese	k a m ʊ ɹ	1 7 4 7 5	AXBYN	KAMYR	1	1.K.C 1.A.V 1.M.C 1.Y.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	397	dáśati:397
1687	93	dáśati	kamṛano	ˈkamɽaˌno	Bengali	ˈk a m ɽ a ˌn o	1 7 4 5 7 4 7	AXBCYBZ	KAMRANU	2	2.K.C 2.A.V 2.M.C 2.R.C 2.A.V 2.N.C 2.U.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	397	dáśati:397
1688	93	dáśati	kamuṛiba	kamuṛˈibə	Oriya	k a m u ṛ ˈi b ə	1 7 4 7 5 7 1 7	AXBYBYBZ	KAMYRIPE	11	11.K.C 11.A.V 11.M.C 11.Y.V 11.R.C 11.I.V 11.P.C 11.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	397	dáśati:397
1689	93	dáśati	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	403	dáśati:403
1690	93	dáśati	ridawanawā	ridawanawā	Sinhalese	r i d a w a n a w ā	5 7 1 7 6 7 4 7 6 7	AXBYBYBYBZ	RITAWANAWA	17	17.R.C 17.I.V 17.T.C 17.A.V 17.W.C 17.A.V 17.N.C 17.A.V 17.W.C 17.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	0	409	dáśati:409
1691	93	dáśati	daigatun̊	daigatun̊	Dhivehi	d ai g a t u n̊	1 7 1 7 1 7 4	AXBYBYN	TAKATYN	4	4.T.C 4.A.V 4.K.C 4.A.V 4.T.C 4.Y.V 4.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	400	dáśati:400
1692	93	dáśati	dindalel	dindalel	Romani	d i n d a l e l	1 7 4 1 7 5 7 5	AXMBYBYN	TINTALEL	14	14.T.C 14.I.V 14.N.c 14.T.C 14.A.V 14.L.C 14.E.V 14.L.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	0	410	dáśati:410
#
487	27	dīrghá	dīrghá	diːɾɡʱ	Sanskrit	d iː ɾ ɡʱ	1 7 5 1	AXLN	TIRK	15	15.T.C 15.I.V 15.R.c 15.K.c	2.0 1.5 1.1 0.8	0	425	dīrghá:425
488	27	dīrghá	dīgha	di:ɡʱa:	Pali	d i: ɡʱ a:	1 7 1 7	AXBZ	TIKA	12	12.T.C 12.I.V 12.K.C 12.A.V	2.0 1.5 1.75 0.8	0	422	dīrghá:422
489	27	dīrghá	lambā	ləmbɑː	Hindi	l ə m b ɑː	5 7 4 1 7	AXMBZ	LEMPA	6	6.L.C 6.E.V 6.M.c 6.P.C 6.A.V	2.0 1.5 1.1 1.75 0.8	0	412	dīrghá:412
490	27	dīrghá	lambā	ləmbɑː	Urdu	l ə m b ɑː	5 7 4 1 7	AXMBZ	LEMPA	18	18.L.C 18.E.V 18.M.c 18.P.C 18.A.V	2.0 1.5 1.1 1.75 0.8	0	412	dīrghá:412
491	27	dīrghá	lāmo	lämo	Nepali	l ä m o	5 7 4 7	AXBZ	LAMU	10	10.L.C 10.A.V 10.M.C 10.U.V	2.0 1.5 1.75 0.8	0	412	dīrghá:412
492	27	dīrghá	lām	läm	Bhojpuri	l ä m	5 7 4	AXN	LAM	3	3.L.C 3.A.V 3.M.c	2.0 1.5 0.8	0	412	dīrghá:412
493	27	dīrghá	lammā	ləmbɑː	Punjabi	l ə m b ɑː	5 7 4 1 7	AXMBZ	LEMPA	13	13.L.C 13.E.V 13.M.c 13.P.C 13.A.V	2.0 1.5 1.1 1.75 0.8	0	412	dīrghá:412
494	27	dīrghá	ḍigho	ᶑi:ɡʱo	Sindhi	ᶑ i: ɡʱ o	0 7 1 7	AXBZ	0IKU	16	16.0.C 16.I.V 16.K.C 16.U.V	2.0 1.5 1.75 0.8	0	422	dīrghá:422
495	27	dīrghá	lā̃bu	lā̃bu	Gujarati	l ā̃ b u	5 7 1 7	AXBZ	LAPY	5	5.L.C 5.A.V 5.P.C 5.Y.V	2.0 1.5 1.75 0.8	0	412	dīrghá:412
496	27	dīrghá	lāmba	ləmbɑː	Marathi	l ə m b ɑː	5 7 4 1 7	AXMBZ	LEMPA	9	9.L.C 9.E.V 9.M.c 9.P.C 9.A.V	2.0 1.5 1.1 1.75 0.8	0	412	dīrghá:412
497	27	dīrghá	lāmba,	ləmbɑː	Konkani	l ə m b ɑː	5 7 4 1 7	AXMBZ	LEMPA	8	8.L.C 8.E.V 8.M.c 8.P.C 8.A.V	2.0 1.5 1.1 1.75 0.8	0	412	dīrghá:412
498	27	dīrghá	dighol	dighol	Assamese	d i g h o l	1 7 1 3 7 5	AXBCYN	TIKHUL	1	1.T.C 1.I.V 1.K.C 1.H.C 1.U.V 1.L.c	2.0 1.5 1.75 1.5 1.3 0.8	0	411	dīrghá:411
499	27	dīrghá	lômba	ɛlômba	Bengali	ɛ l ô m b a	7 5 7 4 1 7	XBYMBZ	ELUMPA	2	2.E.V 2.L.C 2.U.V 2.M.c 2.P.C 2.A.V	1.5 1.75 1.3 1.1 1.75 0.8	0	412	dīrghá:412
500	27	dīrghá	lômba,	ɛlômba	Oriya	ɛ l ô m b a	7 5 7 4 1 7	XBYMBZ	ELUMPA	11	11.E.V 11.L.C 11.U.V 11.M.c 11.P.C 11.A.V	1.5 1.75 1.3 1.1 1.75 0.8	0	412	dīrghá:412
501	27	dīrghá	zīṭh	ziīṭeɪʧ	Kashmiri	z i ī ṭ eɪ ʧ	3 7 7 1 7 2	AXYBYN	SIITEC	7	7.S.C 7.I.V 7.I.V 7.T.C 7.E.V 7.C.c	2.0 1.5 1.3 1.75 1.3 0.8	0	417	dīrghá:417
502	27	dīrghá	diga	diga	Sinhalese	d i g a	1 7 1 7	AXBZ	TIKA	17	17.T.C 17.I.V 17.K.C 17.A.V	2.0 1.5 1.75 0.8	0	411	dīrghá:411
503	27	dīrghá	digu	diɡu	Dhivehi	d i ɡ u	1 7 1 7	AXBZ	TIKY	4	4.T.C 4.I.V 4.K.C 4.Y.V	2.0 1.5 1.75 0.8	0	411	dīrghá:411
504	27	dīrghá	lùngo	lùngo	Romani	l ù n g o	5 7 4 1 7	AXMBZ	LYNKU	14	14.L.C 14.Y.V 14.N.c 14.K.C 14.U.V	2.0 1.5 1.1 1.75 0.8	0	424	dīrghá:424
#
2539	141	dī́vyati	dī́vyati	díːʋjɐti	Sanskrit	d íː ʋ j ɐ t i	1 7 6 6 7 1 7	AXMBYBZ	TIWJETI	15	15.T.C 15.I.V 15.W.c 15.J.C 15.E.V 15.T.C 15.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	440	dī́vyati:440
