# Wordlist

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	INFOMAPID	INFERRED_CLASS
1935	107	jī́vati	jīvvũ	dʑiʋũ:	Gujarati	d ʑ i ʋ ũ:	1 3 7 6 7	ACXBZ	TSIWY	5	5.T.C 5.S.C 5.I.V 5.W.C 5.Y.V	2.0 1.5 1.5 1.75 0.8	0	157	jī́vati:157
1936	107	jī́vati	j̈agṇe	dʑɑːṇe	Marathi	d ʑ ɑː ṇ e	1 3 7 4 7	ACXBZ	TSANE	9	9.T.C 9.S.C 9.A.V 9.N.C 9.E.V	2.0 1.5 1.5 1.75 0.8	0	157	jī́vati:157
1937	107	jī́vati	jagce	dʑɑːtʃe	Konkani	d ʑ ɑː t ʃ e	1 3 7 1 3 7	ACXBCZ	TSATSE	8	8.T.C 8.S.C 8.A.V 8.T.C 8.S.C 8.E.V	2.0 1.5 1.5 1.75 1.5 0.8	0	157	jī́vati:157
1938	107	jī́vati	ziai	ziai	Assamese	z iai	3 7	AX	SI	1	1.S.C 1.I.V	2.0 1.5	0	157	jī́vati:157
1939	107	jī́vati	bãca	bãtʃa	Bengali	b ã t ʃ a	1 7 1 3 7	AXBCZ	PATSA	2	2.P.C 2.A.V 2.T.C 2.S.C 2.A.V	2.0 1.5 1.75 1.5 0.8	0	157	jī́vati:157
1940	107	jī́vati	rôhiba	rohibɑː	Oriya	r o h i b ɑː	5 7 3 7 1 7	AXBYBZ	RUHIPA	11	11.R.C 11.U.V 11.H.C 11.I.V 11.P.C 11.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	157	jī́vati:157
1941	107	jī́vati	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	157	jī́vati:157
1942	107	jī́vati	jīwat	dʑi:wat	Sinhalese	d ʑ i: w a t	1 3 7 6 7 1	ACXBYN	TSIWAT	17	17.T.C 17.S.C 17.I.V 17.W.C 17.A.V 17.T.c	2.0 1.5 1.5 1.75 1.3 0.8	0	157	jī́vati:157
1943	107	jī́vati	dirihurun̊	dirihurun̊	Dhivehi	d i r i h u r u n̊	1 7 5 7 3 7 5 7 4	AXBYBYBYN	TIRIHYRYN	4	4.T.C 4.I.V 4.R.C 4.I.V 4.H.C 4.Y.V 4.R.C 4.Y.V 4.N.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	0	157	jī́vati:157
1944	107	jī́vati	zhuvel	zhuvel	Romani	z h u v e l	3 3 7 3 7 5	ACYBYN	SHYBEL	14	14.S.C 14.H.C 14.Y.V 14.B.C 14.E.V 14.L.c	2.0 1.5 1.3 1.75 1.3 0.8	0	157	jī́vati:157
#
235	13	kadā́	kadā́	kɐdɑː	Sanskrit	k ɐ d ɑː	1 7 1 7	AXBZ	KETA	15	15.K.C 15.E.V 15.T.C 15.A.V	2.0 1.5 1.75 0.8	0	158	kadā́:158
236	13	kadā́	karāhi,	karāhaɪ	Pali	k a r ā h aɪ	1 7 5 7 3 7	AXBYBZ	KARAHA	12	12.K.C 12.A.V 12.R.C 12.A.V 12.H.C 12.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	158	kadā́:158
237	13	kadā́	kab	kəb	Hindi	k ə b	1 7 1	AXN	KEP	6	6.K.C 6.E.V 6.P.c	2.0 1.5 0.8	0	158	kadā́:158
238	13	kadā́	kab	kab	Urdu	k a b	1 7 1	AXN	KAP	18	18.K.C 18.A.V 18.P.c	2.0 1.5 0.8	0	158	kadā́:158
239	13	kadā́	kahile	kʌile	Nepali	k ʌi l e	1 7 5 7	AXBZ	KELE	10	10.K.C 10.E.V 10.L.C 10.E.V	2.0 1.5 1.75 0.8	0	158	kadā́:158
240	13	kadā́	kab	kəb	Bhojpuri	k ə b	1 7 1	AXN	KEP	3	3.K.C 3.E.V 3.P.c	2.0 1.5 0.8	0	158	kadā́:158
241	13	kadā́	kadõ	kadõ	Punjabi	k a d õ	1 7 1 7	AXBZ	KATU	13	13.K.C 13.A.V 13.T.C 13.U.V	2.0 1.5 1.75 0.8	0	158	kadā́:158
242	13	kadā́	kaᶑhã	kaᶑhã	Sindhi	k a ᶑ h ã	1 7 0 3 7	AXBCZ	KA0HA	16	16.K.C 16.A.V 16.0.C 16.H.C 16.A.V	2.0 1.5 1.75 1.5 0.8	0	158	kadā́:158
243	13	kadā́	kyāre	kyāreɪ	Gujarati	k y ā r eɪ	1 7 7 5 7	AXYBZ	KYARE	5	5.K.C 5.Y.V 5.A.V 5.R.C 5.E.V	2.0 1.5 1.3 1.75 0.8	0	158	kadā́:158
244	13	kadā́	kevhā,	kɛvhā	Marathi	k ɛ v h ā	1 7 3 3 7	AXMBZ	KEBHA	9	9.K.C 9.E.V 9.B.c 9.H.C 9.A.V	2.0 1.5 1.1 1.75 0.8	0	158	kadā́:158
245	13	kadā́	kednā	kɛdnā	Konkani	k ɛ d n ā	1 7 1 4 7	AXBCZ	KETNA	8	8.K.C 8.E.V 8.T.C 8.N.C 8.A.V	2.0 1.5 1.75 1.5 0.8	0	158	kadā́:158
246	13	kadā́	ketia	kɛtia	Assamese	k ɛ t ia	1 7 1 7	AXBZ	KETI	1	1.K.C 1.E.V 1.T.C 1.I.V	2.0 1.5 1.75 0.8	0	158	kadā́:158
247	13	kadā́	kôkhôn	kɒkʰɒn	Bengali	k ɒ kʰ ɒ n	1 7 1 7 4	AXBYN	KOKON	2	2.K.C 2.O.V 2.K.C 2.O.V 2.N.c	2.0 1.5 1.75 1.3 0.8	0	158	kadā́:158
248	13	kadā́	kebe,	kɛbɛ	Oriya	k ɛ b ɛ	1 7 1 7	AXBZ	KEPE	11	11.K.C 11.E.V 11.P.C 11.E.V	2.0 1.5 1.75 0.8	0	158	kadā́:158
249	13	kadā́	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	158	kadā́:158
250	13	kadā́	kawadā*,	kawadā	Sinhalese	k a w a d ā	1 7 6 7 1 7	AXBYBZ	KAWATA	17	17.K.C 17.A.V 17.W.C 17.A.V 17.T.C 17.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	158	kadā́:158
251	13	kadā́	kon̊iraku	kon̊iraku	Dhivehi	k o n̊ i r a k u	1 7 4 7 5 7 1 7	AXBYBYBZ	KUNIRAKY	4	4.K.C 4.U.V 4.N.C 4.I.V 4.R.C 4.A.V 4.K.C 4.Y.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	158	kadā́:158
252	13	kadā́	kana	ˈkɑːnə	Romani	ˈk ɑː n ə	1 7 4 7	AXBZ	KANE	14	14.K.C 14.A.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	0	158	kadā́:158
#
253	14	kathám	kathám	kɐtʰɐm	Sanskrit	k ɐ tʰ ɐ m	1 7 1 7 4	AXBYN	KETEM	15	15.K.C 15.E.V 15.T.C 15.E.V 15.M.c	2.0 1.5 1.75 1.3 0.8	0	159	kathám:159
254	14	kathám	kathaṃ	kɐtʰaṃ	Pali	k ɐ tʰ a ṃ	1 7 1 7 4	AXBYN	KETAM	12	12.K.C 12.E.V 12.T.C 12.A.V 12.M.c	2.0 1.5 1.75 1.3 0.8	0	159	kathám:159
255	14	kathám	kaisā	kɛːsɑː	Hindi	k ɛː s ɑː	1 7 3 7	AXBZ	KESA	6	6.K.C 6.E.V 6.S.C 6.A.V	2.0 1.5 1.75 0.8	0	159	kathám:159
256	14	kathám	kaisā	kɛːsɑː	Urdu	k ɛː s ɑː	1 7 3 7	AXBZ	KESA	18	18.K.C 18.E.V 18.S.C 18.A.V	2.0 1.5 1.75 0.8	0	159	kathám:159
257	14	kathám	kasarī,	kʌsʌɾi	Nepali	k ʌ s ʌ ɾ i	1 7 3 7 5 7	AXBYBZ	KESERI	10	10.K.C 10.E.V 10.S.C 10.E.V 10.R.C 10.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	159	kathám:159
258	14	kathám	kaise	kɛːsɛ	Bhojpuri	k ɛː s ɛ	1 7 3 7	AXBZ	KESE	3	3.K.C 3.E.V 3.S.C 3.E.V	2.0 1.5 1.75 0.8	0	159	kathám:159
259	14	kathám	kivẽ*	kivẽ	Punjabi	k i v ẽ	1 7 3 7	AXBZ	KIBE	13	13.K.C 13.I.V 13.B.C 13.E.V	2.0 1.5 1.75 0.8	0	159	kathám:159
260	14	kathám	kiã	kiã	Sindhi	k iã	1 7	AX	KI	16	16.K.C 16.I.V	2.0 1.5	0	159	kathám:159
261	14	kathám	kevī	kevī	Gujarati	k e v ī	1 7 3 7	AXBZ	KEBI	5	5.K.C 5.E.V 5.B.C 5.I.V	2.0 1.5 1.75 0.8	0	159	kathám:159
262	14	kathám	kase	kase	Marathi	k a s e	1 7 3 7	AXBZ	KASE	9	9.K.C 9.A.V 9.S.C 9.E.V	2.0 1.5 1.75 0.8	0	159	kathám:159
263	14	kathám	kaśe	kɑśi	Konkani	k ɑ ś i	1 7 3 7	AXBZ	KASI	8	8.K.C 8.A.V 8.S.C 8.I.V	2.0 1.5 1.75 0.8	0	159	kathám:159
264	14	kathám	kene	kɛnɛ	Assamese	k ɛ n ɛ	1 7 4 7	AXBZ	KENE	1	1.K.C 1.E.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	0	159	kathám:159
265	14	kathám	kemôn	kɛmôɛn	Bengali	k ɛ m ô ɛ n	1 7 4 7 7 4	AXBYYN	KEMUEN	2	2.K.C 2.E.V 2.M.C 2.U.V 2.E.V 2.N.c	2.0 1.5 1.75 1.3 1.3 0.8	0	159	kathám:159
266	14	kathám	kemiti,	kemiti	Oriya	k e m i t i	1 7 4 7 1 7	AXBYBZ	KEMITI	11	11.K.C 11.E.V 11.M.C 11.I.V 11.T.C 11.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	159	kathám:159
267	14	kathám	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	159	kathám:159
268	14	kathám	kohoma	kohoma	Sinhalese	k o h o m a	1 7 3 7 4 7	AXBYBZ	KUHUMA	17	17.K.C 17.U.V 17.H.C 17.U.V 17.M.C 17.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	159	kathám:159
269	14	kathám	dekkun̊	dekkun̊	Dhivehi	d e kk u n̊	1 7 1 7 4	AXBYN	TEKYN	4	4.T.C 4.E.V 4.K.C 4.Y.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	159	kathám:159
270	14	kathám	sar	saɾ	Romani	s a ɾ	3 7 5	AXN	SAR	14	14.S.C 14.A.V 14.R.c	2.0 1.5 0.8	0	159	kathám:159
#
2107	117	khánati	khánati	kʰɐnɐti	Sanskrit	kʰ ɐ n ɐ t i	1 7 4 7 1 7	AXBYBZ	KENETI	15	15.K.C 15.E.V 15.N.C 15.E.V 15.T.C 15.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	160	khánati:160
2108	117	khánati	khaṇati	kʰɑŋɐti	Pali	kʰ ɑ ŋ ɐ t i	1 7 4 7 1 7	AXBYBZ	KANETI	12	12.K.C 12.A.V 12.N.C 12.E.V 12.T.C 12.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	160	khánati:160
2109	117	khánati	khodnā	kʰoːdnɑː	Hindi	kʰ oː d n ɑː	1 7 1 4 7	AXBCZ	KUTNA	6	6.K.C 6.U.V 6.T.C 6.N.C 6.A.V	2.0 1.5 1.75 1.5 0.8	0	160	khánati:160
2110	117	khánati	khodnā	kʰoːdnɑː	Urdu	kʰ oː d n ɑː	1 7 1 4 7	AXBCZ	KUTNA	18	18.K.C 18.U.V 18.T.C 18.N.C 18.A.V	2.0 1.5 1.75 1.5 0.8	0	160	khánati:160
2111	117	khánati	khannu	kʰʌnːu	Nepali	kʰ ʌ nː u	1 7 4 7	AXBZ	KENY	10	10.K.C 10.E.V 10.N.C 10.Y.V	2.0 1.5 1.75 0.8	0	160	khánati:160
2112	117	khánati	khode	None	Bhojpuri	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	160	khánati:160
2113	117	khánati	puṭṭaṇā	puṭṭeɪṇā	Punjabi	p u ṭṭ eɪ ṇ ā	1 7 1 7 4 7	AXBYBZ	PYTENA	13	13.P.C 13.Y.V 13.T.C 13.E.V 13.N.C 13.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	160	khánati:160
2114	117	khánati	khoṭaṇu	kʰoʈaŋu:	Sindhi	kʰ o ʈ a ŋ u:	1 7 1 7 4 7	AXBYBZ	KUTANY	16	16.K.C 16.U.V 16.T.C 16.A.V 16.N.C 16.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	160	khánati:160
2115	117	khánati	khodvũ	kʰoʈaŋvũ	Gujarati	kʰ o ʈ a ŋ v ũ	1 7 1 7 4 3 7	AXBYMBZ	KUTANBY	5	5.K.C 5.U.V 5.T.C 5.A.V 5.N.c 5.B.C 5.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	160	khánati:160
2116	117	khánati	khodṇe,	kʰodŋe	Marathi	kʰ o d ŋ e	1 7 1 4 7	AXBCZ	KUTNE	9	9.K.C 9.U.V 9.T.C 9.N.C 9.E.V	2.0 1.5 1.75 1.5 0.8	0	160	khánati:160
2117	117	khánati	khaṇap	kʰaŋap	Konkani	kʰ a ŋ a p	1 7 4 7 1	AXBYN	KANAP	8	8.K.C 8.A.V 8.N.C 8.A.V 8.P.c	2.0 1.5 1.75 1.3 0.8	0	160	khánati:160
2118	117	khánati	khando	kʰaŋdo	Assamese	kʰ a ŋ d o	1 7 4 1 7	AXMBZ	KANTU	1	1.K.C 1.A.V 1.N.c 1.T.C 1.U.V	2.0 1.5 1.1 1.75 0.8	0	160	khánati:160
2119	117	khánati	khõṛano	kʰoɽano	Bengali	kʰ o ɽ a n o	1 7 5 7 4 7	AXBYBZ	KURANU	2	2.K.C 2.U.V 2.R.C 2.A.V 2.N.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	160	khánati:160
2120	117	khánati	khoḷiba	kʰoɭiba	Oriya	kʰ o ɭ i b a	1 7 5 7 1 7	AXBYBZ	KULIPA	11	11.K.C 11.U.V 11.L.C 11.I.V 11.P.C 11.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	160	khánati:160
2121	117	khánati	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	160	khánati:160
2122	117	khánati	kaṇinawā	kɑṇinawā	Sinhalese	k ɑ ṇ i n a w ā	1 7 4 7 4 7 6 7	AXBYBYBZ	KANINAWA	17	17.K.C 17.A.V 17.N.C 17.I.V 17.N.C 17.A.V 17.W.C 17.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	160	khánati:160
2123	117	khánati	kon̊nun̊	kɑn̊nʌn̊	Dhivehi	k ɑ n̊ n ʌ n̊	1 7 4 4 7 4	AXMBYN	KANNEN	4	4.K.C 4.A.V 4.N.c 4.N.C 4.E.V 4.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	160	khánati:160
2124	117	khánati	hunavel	hunavel	Romani	h u n a v e l	3 7 4 7 3 7 5	AXBYBYN	HYNABEL	14	14.H.C 14.Y.V 14.N.C 14.A.V 14.B.C 14.E.V 14.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	160	khánati:160
#
1657	92	khā́dati,	khā́dati,	kʰɑːdɐti	Sanskrit	kʰ ɑː d ɐ t i	1 7 1 7 1 7	AXBYBZ	KATETI	15	15.K.C 15.A.V 15.T.C 15.E.V 15.T.C 15.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	161	khā́dati,:161
1658	92	khā́dati,	adeti	adeti	Pali	a d e t i	7 1 7 1 7	XBYBZ	ATETI	12	12.A.V 12.T.C 12.E.V 12.T.C 12.I.V	1.5 1.75 1.3 1.75 0.8	0	161	khā́dati,:161
1659	92	khā́dati,	khānā	kʰɑːnɑː	Hindi	kʰ ɑː n ɑː	1 7 4 7	AXBZ	KANA	6	6.K.C 6.A.V 6.N.C 6.A.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1660	92	khā́dati,	khānā	kʰɑːnɑː	Urdu	kʰ ɑː n ɑː	1 7 4 7	AXBZ	KANA	18	18.K.C 18.A.V 18.N.C 18.A.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1661	92	khā́dati,	khānu	kʰänu	Nepali	kʰ ä n u	1 7 4 7	AXBZ	KANY	10	10.K.C 10.A.V 10.N.C 10.Y.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1662	92	khā́dati,	khāe	kʰɑːɛ	Bhojpuri	kʰ ɑːɛ	1 7	AX	KA	3	3.K.C 3.A.V	2.0 1.5	0	161	khā́dati,:161
1663	92	khā́dati,	khāṇā	kʰaːɳaː	Punjabi	kʰ aː ɳ aː	1 7 4 7	AXBZ	KANA	13	13.K.C 13.A.V 13.N.C 13.A.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1664	92	khā́dati,	khāiṇu	kʰaːiṇu	Sindhi	kʰ aːi ṇ u	1 7 4 7	AXBZ	KANY	16	16.K.C 16.A.V 16.N.C 16.Y.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1665	92	khā́dati,	khāvũ	kʰävu	Gujarati	kʰ ä v u	1 7 3 7	AXBZ	KABY	5	5.K.C 5.A.V 5.B.C 5.Y.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1666	92	khā́dati,	khāṇe	kʰänɛ	Marathi	kʰ ä n ɛ	1 7 4 7	AXBZ	KANE	9	9.K.C 9.A.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1667	92	khā́dati,	khāvce	kʰɑ:vcɛ	Konkani	kʰ ɑ: v c ɛ	1 7 3 1 7	AXMBZ	KABCE	8	8.K.C 8.A.V 8.B.c 8.C.C 8.E.V	2.0 1.5 1.1 1.75 0.8	0	161	khā́dati,:161
1668	92	khā́dati,	kha	kʰa	Assamese	kʰ a	1 7	AX	KA	1	1.K.C 1.A.V	2.0 1.5	0	161	khā́dati,:161
1669	92	khā́dati,	khaẇa	kʰawa	Bengali	kʰ a w a	1 7 6 7	AXBZ	KAWA	2	2.K.C 2.A.V 2.W.C 2.A.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1670	92	khā́dati,	khaiba	kʰaiba	Oriya	kʰ ai b a	1 7 1 7	AXBZ	KAPA	11	11.K.C 11.A.V 11.P.C 11.A.V	2.0 1.5 1.75 0.8	0	161	khā́dati,:161
1671	92	khā́dati,	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	161	khā́dati,:161
1672	92	khā́dati,	kanawā	kʰɑːnɑːwa:	Sinhalese	kʰ ɑː n ɑː w a:	1 7 4 7 6 7	AXBYBZ	KANAWA	17	17.K.C 17.A.V 17.N.C 17.A.V 17.W.C 17.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	161	khā́dati,:161
1673	92	khā́dati,	keun̊	keun̊	Dhivehi	k eu n̊	1 7 4	AXN	KEN	4	4.K.C 4.E.V 4.N.c	2.0 1.5 0.8	0	161	khā́dati,:161
1674	92	khā́dati,	xal	ˈʃal	Romani	ˈʃ a l	3 7 5	AXN	SAL	14	14.S.C 14.A.V 14.L.c	2.0 1.5 0.8	0	161	khā́dati,:161
#
325	18	kiñcid	kiñcid	kiñsɪd	Sanskrit	k i ñ s ɪ d	1 7 4 3 7 1	AXMBYN	KINSIT	15	15.K.C 15.I.V 15.N.c 15.S.C 15.I.V 15.T.c	2.0 1.5 1.1 1.75 1.3 0.8	0	163	kiñcid:163
326	18	kiñcid	eke*,	iːk	Pali	iː k	7 1	XN	IK	12	12.I.V 12.K.c	1.5 0.8	0	169	kiñcid:169
327	18	kiñcid	kuch	kʊtʃʰ	Hindi	k ʊ t ʃʰ	1 7 1 3	AXBC	KYTS	6	6.K.C 6.Y.V 6.T.C 6.S.C	2.0 1.5 1.75 1.5	0	163	kiñcid:163
328	18	kiñcid	kuch	kʊtʃʰ	Urdu	k ʊ t ʃʰ	1 7 1 3	AXBC	KYTS	18	18.K.C 18.Y.V 18.T.C 18.S.C	2.0 1.5 1.75 1.5	0	163	kiñcid:163
329	18	kiñcid	kehī,	kei	Nepali	k ei	1 7	AX	KE	10	10.K.C 10.E.V	2.0 1.5	0	163	kiñcid:163
330	18	kiñcid	thoṛī,	thoṛī	Bhojpuri	t h o ṛ ī	1 3 7 5 7	ACXBZ	THURI	3	3.T.C 3.H.C 3.U.V 3.R.C 3.I.V	2.0 1.5 1.5 1.75 0.8	0	164	kiñcid:164
331	18	kiñcid	kujjha	kujjha	Punjabi	k u jj h a	1 7 6 3 7	AXMBZ	KYJHA	13	13.K.C 13.Y.V 13.J.c 13.H.C 13.A.V	2.0 1.5 1.1 1.75 0.8	0	163	kiñcid:163
332	18	kiñcid	kujhi	kujhi	Sindhi	k u j h i	1 7 6 3 7	AXMBZ	KYJHI	16	16.K.C 16.Y.V 16.J.c 16.H.C 16.I.V	2.0 1.5 1.1 1.75 0.8	0	163	kiñcid:163
333	18	kiñcid	amuk,	amuk	Gujarati	a m u k	7 4 7 1	XBYN	AMYK	5	5.A.V 5.M.C 5.Y.V 5.K.c	1.5 1.75 1.3 0.8	0	166	kiñcid:166
334	18	kiñcid	kāhī	keɪāeɪʧī	Marathi	k eɪ ā eɪ ʧ ī	1 7 7 7 2 7	AXYYBZ	KEAECI	9	9.K.C 9.E.V 9.A.V 9.E.V 9.C.C 9.I.V	2.0 1.5 1.3 1.3 1.75 0.8	0	163	kiñcid:163
335	18	kiñcid	thoḍe	tʰoɖe	Konkani	tʰ o ɖ e	1 7 1 7	AXBZ	TUTE	8	8.T.C 8.U.V 8.T.C 8.E.V	2.0 1.5 1.75 0.8	0	168	kiñcid:168
336	18	kiñcid	olop	ɔlɔp	Assamese	ɔ l ɔ p	7 5 7 1	XBYN	ULUP	1	1.U.V 1.L.C 1.U.V 1.P.c	1.5 1.75 1.3 0.8	0	162	kiñcid:162
337	18	kiñcid	kichu	kisu	Bengali	k i s u	1 7 3 7	AXBZ	KISY	2	2.K.C 2.I.V 2.S.C 2.Y.V	2.0 1.5 1.75 0.8	0	163	kiñcid:163
338	18	kiñcid	kichi	kichi	Oriya	k i c h i	1 7 1 3 7	AXBCZ	KICHI	11	11.K.C 11.I.V 11.C.C 11.H.C 11.I.V	2.0 1.5 1.75 1.5 0.8	0	163	kiñcid:163
339	18	kiñcid	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	167	kiñcid:167
340	18	kiñcid	ætæm	ætæm	Sinhalese	æ t æ m	7 1 7 4	XBYN	ETEM	17	17.E.V 17.T.C 17.E.V 17.M.c	1.5 1.75 1.3 0.8	0	168	kiñcid:168
341	18	kiñcid	baek̊	baɛk	Dhivehi	b aɛ k	1 7 1	AXN	PAK	4	4.P.C 4.A.V 4.K.c	2.0 1.5 0.8	0	165	kiñcid:165
342	18	kiñcid	unyi	unyi	Romani	u n yi	7 4 7	XBZ	YNY	14	14.Y.V 14.N.C 14.Y.V	1.5 1.75 0.8	0	167	kiñcid:167
#
3439	191	kuṇṭha	kuṇṭha	None	Sanskrit	N o n e	0 7 4 7	AXBZ	0UNE	15	15.0.C 15.U.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3440	191	kuṇṭha	kuṇtha	None	Pali	N o n e	0 7 4 7	AXBZ	0UNE	12	12.0.C 12.U.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3441	191	kuṇṭha	kund	kʊnd	Hindi	k ʊ n d	1 7 4 1	AXLN	KYNT	6	6.K.C 6.Y.V 6.N.c 6.T.c	2.0 1.5 1.1 0.8	0	171	kuṇṭha:171
3442	191	kuṇṭha	kund	None	Urdu	N o n e	0 7 4 7	AXBZ	0UNE	18	18.0.C 18.U.V 18.N.C 18.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3443	191	kuṇṭha	bodho	bodo	Nepali	b o d o	1 7 1 7	AXBZ	PUTU	10	10.P.C 10.U.V 10.T.C 10.U.V	2.0 1.5 1.75 0.8	0	172	kuṇṭha:172
3444	191	kuṇṭha	bhothar	None	Bhojpuri	N o n e	0 7 4 7	AXBZ	0UNE	3	3.0.C 3.U.V 3.N.C 3.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3445	191	kuṇṭha	khuṇḍhā	None	Punjabi	N o n e	0 7 4 7	AXBZ	0UNE	13	13.0.C 13.U.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3446	191	kuṇṭha	muᶑo	None	Sindhi	N o n e	0 7 4 7	AXBZ	0UNE	16	16.0.C 16.U.V 16.N.C 16.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3447	191	kuṇṭha	buṭhṭhũ	None	Gujarati	N o n e	0 7 4 7	AXBZ	0UNE	5	5.0.C 5.U.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3448	191	kuṇṭha	bothaṭ	None	Marathi	N o n e	0 7 4 7	AXBZ	0UNE	9	9.0.C 9.U.V 9.N.C 9.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3449	191	kuṇṭha	None	None	Konkani	N o n e	0 7 4 7	AXBZ	0UNE	8	8.0.C 8.U.V 8.N.C 8.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3450	191	kuṇṭha	bhüta	None	Assamese	N o n e	0 7 4 7	AXBZ	0UNE	1	1.0.C 1.U.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3451	191	kuṇṭha	bhõta	None	Bengali	N o n e	0 7 4 7	AXBZ	0UNE	2	2.0.C 2.U.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3452	191	kuṇṭha	ônthôṛa	None	Oriya	N o n e	0 7 4 7	AXBZ	0UNE	11	11.0.C 11.U.V 11.N.C 11.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3453	191	kuṇṭha	None	None	Kashmiri	N o n e	0 7 4 7	AXBZ	0UNE	7	7.0.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3454	191	kuṇṭha	moṭa	None	Sinhalese	N o n e	0 7 4 7	AXBZ	0UNE	17	17.0.C 17.U.V 17.N.C 17.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3455	191	kuṇṭha	koṣi	None	Dhivehi	N o n e	0 7 4 7	AXBZ	0UNE	4	4.0.C 4.U.V 4.N.C 4.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
3456	191	kuṇṭha	bikucime	None	Romani	N o n e	0 7 4 7	AXBZ	0UNE	14	14.0.C 14.U.V 14.N.C 14.E.V	2.0 1.5 1.75 0.8	1	170	kuṇṭha:170
#
181	10	ká	ká	kə	Sanskrit	k ə	1 7	AX	KE	15	15.K.C 15.E.V	2.0 1.5	0	173	ká:173
