#
COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT
34	tanú	patlā	pətlɑː	Hindi
34	tanú	patlā	pətlɑː	Urdu
34	tanú	pātlo,	pa:tlo	Nepali
34	tanú	pātar	pa:ta:r	Bhojpuri
34	tanú	patlā	pətlɑː	Punjabi
34	tanú	sanho	None	Sindhi
34	tanú	pātaḷũ	pətlɑː	Gujarati
34	tanú	pātaḷ,	pətlɑ	Marathi
34	tanú	bārīk,	bɑːɾiːk	Konkani
34	tanú	patol,	patɔl	Assamese
34	tanú	patla	pətlɑː	Bengali
34	tanú	sôrua,	ɛsôˈruə	Oriya
34	tanú	ton,	tʌn	Kashmiri
34	tanú	sihin	sihin	Sinhalese
34	tanú	tuni,	tuni	Dhivehi
34	tanú	sano	ˈsano	Romani
35	strī́	strī́	stɾiː	Sanskrit
35	strī́	itthī	itthī	Pali
35	strī́	aurat,	ɔːɾət	Hindi
35	strī́	'aurat	ɔːɾət	Urdu
35	strī́	āimāī,	äimäi	Nepali
35	strī́	mehrārū,	None	Bhojpuri
35	strī́	aurat	ɔːɾət	Punjabi
35	strī́	'aurat,	ɔːɾət	Sindhi
35	strī́	strī	stɾiː	Gujarati
35	strī́	bāī	bɑːiː	Marathi
35	strī́	bāil	None	Konkani
35	strī́	maiki	maɪkimanuʱ	Assamese
35	strī́	môhila	mɔɦila	Bengali
35	strī́	nari,	naɾi	Oriya
35	strī́	zanān	zanaːn	Kashmiri
35	strī́	gǣni	ʤiǣni	Sinhalese
35	strī́	an̊hen̊	æn̊hɛn̊	Dhivehi
35	strī́	ʒuvli	dʒuvʎi	Romani
36	púruṣa,	púruṣa,	pʊɾʊʂ	Sanskrit
36	púruṣa,	purisa,	None	Pali
36	púruṣa,	ādmī	ɑːdmiː	Hindi
36	púruṣa,	ādmī	ɑːdmiː	Urdu
36	púruṣa,	puruṣ	pʊɾʊʂ	Nepali
36	púruṣa,	marad,	marad	Bhojpuri
36	púruṣa,	ādamī	aːdmiː	Punjabi
36	púruṣa,	māṇhū,	māṇhū	Sindhi
36	púruṣa,	puruṣ	None	Gujarati
36	púruṣa,	puruṣ	pʊɾʊʂ	Marathi
36	púruṣa,	didlo	didlo	Konkani
36	púruṣa,	mota	mɔtamanuʱ	Assamese
36	púruṣa,	puruś	pʊɾʊʂ	Bengali
36	púruṣa,	puruṣô	pʊɾʊʂô	Oriya
36	púruṣa,	mrụd	mrụd	Kashmiri
36	púruṣa,	pirimiyā	pirimiya:	Sinhalese
36	púruṣa,	firihen̊	firihen̊	Dhivehi
36	púruṣa,	murś	murś	Romani
37	manuṣyá,	manuṣyá,	mənʊʂjə	Sanskrit
37	manuṣyá,	jana,	ˈjɑnɑ	Pali
37	manuṣyá,	insān,	ɪnˈsaːn	Hindi
37	manuṣyá,	insān,	insɑːn	Urdu
37	manuṣyá,	mānche,	mäntsʰe	Nepali
37	manuṣyá,	insān	ɪnˈsaːn	Bhojpuri
37	manuṣyá,	manukkha,	manukkha	Punjabi
37	manuṣyá,	māṇhū,	māṇhū	Sindhi
37	manuṣyá,	māṇas	ma:ṇas	Gujarati
37	manuṣyá,	māṇūs	ma:ṇu:s	Marathi
37	manuṣyá,	manīs	mani:s	Konkani
37	manuṣyá,	manuh	manuʱ	Assamese
37	manuṣyá,	manuś	manuʃ	Bengali
37	manuṣyá,	manôbô,	mænôbiô	Oriya
37	manuṣyá,	insān	insaːn	Kashmiri
37	manuṣyá,	minihā	miniha:	Sinhalese
37	manuṣyá,	mīhā	miːhəː	Dhivehi
37	manuṣyá,	manuś	ˈmɑˌnuś	Romani
38	bā́la,	bā́la,	bɑːl	Sanskrit
38	bā́la,	bālaka	ba:laka	Pali
38	bā́la,	baccā	bətʃtʃɑː	Hindi
38	bā́la,	baccā	battʃabatʃa	Urdu
38	bā́la,	baccā,	bətʃtʃɑː	Nepali
38	bā́la,	baccā	bətʃtʃɑː	Bhojpuri
38	bā́la,	baccā	bətʃtʃɑː	Punjabi
38	bā́la,	ɓāri	ɓa:ri	Sindhi
38	bā́la,	bāḷka,	ba:ḷka	Gujarati
38	bā́la,	mūl	mul	Marathi
38	bā́la,	bhurgo	bhurgo	Konkani
38	bā́la,	löra-süali,	lóɹasʊali	Assamese
38	bā́la,	bacca	bətʃtʃɑ	Bengali
38	bā́la,	śiśu,	sisu	Oriya
38	bā́la,	śur,	ʃur	Kashmiri
38	bā́la,	ḷamayā	ḷamaya:	Sinhalese
38	bā́la,	kujjā	kujja:	Dhivehi
38	bā́la,	ćhavo	tʃʰaˈvo	Romani
39	pátnī,	pátnī,	pətniː	Sanskrit
39	pátnī,	dāra,	da:ra:	Pali
39	pátnī,	patnī	pətniː	Hindi
39	pátnī,	bīvī	biːʋiː	Urdu
39	pátnī,	svāsnī,	swäsni	Nepali
39	pátnī,	mehrārū,	mɛhra:ru:	Bhojpuri
39	pátnī,	patnī	patni:	Punjabi
39	pátnī,	zāl,	zɑːl	Sindhi
39	pátnī,	patnī	ˈpətni	Gujarati
39	pátnī,	bāyko	ba:yko	Marathi
39	pátnī,	bāil	ba:ɪl	Konkani
39	pátnī,	ghoini	ɡʱoɪni	Assamese
39	pátnī,	bôu	bôju	Bengali
39	pátnī,	pôtni,	piôtni	Oriya
39	pátnī,	zanānụ	zænāɛnụ	Kashmiri
39	pátnī,	nōnā	ɛnōɛnā	Sinhalese
39	pátnī,	aᵐbi	eɪᵐbaɪ	Dhivehi
39	pátnī,	rromni	rromni	Romani
40	páti	páti	pətiː	Sanskrit
40	páti	pati	ˈpati	Pali
40	páti	pati	pətiː	Hindi
40	páti	śauhar	śauhar	Urdu
40	páti	logne,	loɡne	Nepali
40	páti	marad,	marad	Bhojpuri
40	páti	patī	ˈpati:	Punjabi
40	páti	maṛs,	mɑṛɛs	Sindhi
40	páti	pati	pətiː	Gujarati
40	páti	navrā	navra:	Marathi
40	páti	ghov	ghov	Konkani
40	páti	giri,	ɡiɹi	Assamese
40	páti	jamai	jamai	Bengali
40	páti	pôti,	piôti	Oriya
40	páti	khāndār,	khāndāɑr	Kashmiri
40	páti	mahattayā	mahattaya:	Sinhalese
40	páti	firi,	firi	Dhivehi
40	páti	rrom	rrom	Romani
41	mā́tṛ	mā́tṛ	mɑːtɾ	Sanskrit
41	mā́tṛ	mātar	mɑːtɑɾ	Pali
41	mā́tṛ	mātā	mɑːtɑː	Hindi
41	mā́tṛ	mā̃,	mɑː	Urdu
41	mā́tṛ	āmā	ämä	Nepali
41	mā́tṛ	matārī,	mɑːtɑ:ɾi:	Bhojpuri
41	mā́tṛ	mātā	mɑːtɑː	Punjabi
41	mā́tṛ	māu	maːʔ	Sindhi
41	mā́tṛ	mātā	mɑːtɑː	Gujarati
41	mā́tṛ	āī	ɑːiː	Marathi
41	mā́tṛ	āvai	ɑːvaiː	Konkani
41	mā́tṛ	ma,	ma	Assamese
41	mā́tṛ	ma,	ma	Bengali
41	mā́tṛ	ma,	ma	Oriya
41	mā́tṛ	mạ̄ī	mɑ:i:	Kashmiri
41	mā́tṛ	mawa,	mawa	Sinhalese
41	mā́tṛ	man̊ma	mæn̊mɑ	Dhivehi
41	mā́tṛ	daj	daj	Romani
42	pitṛ́	pitṛ́	pɪtɾ	Sanskrit
42	pitṛ́	pitar	piˈtaɾ	Pali
42	pitṛ́	pitā	pɪtɑː	Hindi
42	pitṛ́	abbū,	abu	Urdu
42	pitṛ́	bābā,	bɑːbɑː	Nepali
42	pitṛ́	pitar,	piˈtaɾ	Bhojpuri
42	pitṛ́	pio,	pɪoː	Punjabi
42	pitṛ́	pīu	pīu	Sindhi
42	pitṛ́	pitā	pɪtɑː	Gujarati
42	pitṛ́	vaḍīl,	vaḍīl	Marathi
42	pitṛ́	bāpui	bāpui	Konkani
42	pitṛ́	deuta,	dɛʊta	Assamese
42	pitṛ́	baba,	baba	Bengali
42	pitṛ́	pita,	pɪtɑ	Oriya
42	pitṛ́	mōl	moːl	Kashmiri
42	pitṛ́	piya,	pɪya:	Sinhalese
42	pitṛ́	bappa	bəpːə	Dhivehi
42	pitṛ́	dad	dæd	Romani
43	páśu	páśu	pəʃuː	Sanskrit
43	páśu	mig*	ˈmitʃ	Pali
43	páśu	jānvar	dʒɑːnʋəɾ	Hindi
43	páśu	jānvar	dʒɑːnwaɾ	Urdu
43	páśu	jantu,	dʑɐntú	Nepali
43	páśu	janāvar	dzənaʋəɾ	Bhojpuri
43	páśu	jānvar	dʒaːnʋəɾə	Punjabi
43	páśu	jānvaru	dʒɑːnwaɾ	Sindhi
43	páśu	prāṇī	prɑːɳiː	Gujarati
43	páśu	prāṇī	pɾɑːɳiː	Marathi
43	páśu	janāvar	dzənaʋəɾ	Konkani
43	páśu	ziw-zontu	ziw-zontu	Assamese
43	páśu	jôntu	ʤeɪôntu	Bengali
43	páśu	pôśu,	piôśju	Oriya
43	páśu	zuvzạ̄ċ	zuvzạ̄ċ	Kashmiri
43	páśu	satā	sɑtɑ:	Sinhalese
43	páśu	janavāru	janavɑ:ru	Dhivehi
43	páśu	pedo	ɛdəʊ	Romani
44	mátsya	mátsya	mətsjᵊ	Sanskrit
44	mátsya	maccha	mətʃʰaː	Pali
44	mátsya	machlī	mətʃʰliː	Hindi
44	mátsya	machlī	mətʃʰliː	Urdu
44	mátsya	māchā	mätsʰä	Nepali
44	mátsya	machrī	mətʃʰriː	Bhojpuri
44	mátsya	macchī	mətʃʰːiː	Punjabi
44	mátsya	machī	mətʃʰiː	Sindhi
44	mátsya	māchlī	mətʃʰliː	Gujarati
44	mátsya	māsā	maːsaː	Marathi
44	mátsya	māsoḷī,	ma:soḷi:	Konkani
44	mátsya	mas	mas	Assamese
44	mátsya	mach	mas	Bengali
44	mátsya	machô	matʃʰɔ	Oriya
44	mátsya	gāḍ	gaːd	Kashmiri
44	mátsya	māḷuwā	maːḷuwaː	Sinhalese
44	mátsya	mas	mas	Dhivehi
44	mátsya	maćho	matʃʰo	Romani
45	ví,	ví,	ʋí	Sanskrit
45	ví,	pakkhin	pakkʰin	Pali
45	ví,	ciṛiyā	tʃɪɽɪjɑː	Hindi
45	ví,	ciṛiyā	tʃɪɽɪjɑː	Urdu
45	ví,	carā,	tsʌɾä	Nepali
45	ví,	ciṛaīn	tʃɪɽɑi:n	Bhojpuri
45	ví,	pañchī	pañchī	Punjabi
45	ví,	pakhī	pakʰi:	Sindhi
45	ví,	paṅkhī,	paṅkhī	Gujarati
45	ví,	pakṣī,	pækṣī	Marathi
45	ví,	pakṣi	pækṣī	Konkani
45	ví,	sorai	sɔɹaɪ	Assamese
45	ví,	pakhi	pakʰi	Bengali
45	ví,	côṛhei,	côṛhei	Oriya
45	ví,	pạrindụ	piạraɪndụ	Kashmiri
45	ví,	kurullā	kurullɑ:	Sinhalese
45	ví,	dūni	du:ni	Dhivehi
45	ví,	ćiriklo	ćiriklo	Romani
46	śván	śván	ɕʋɐn	Sanskrit
46	śván	kukkura,	ˈkukːurɑ	Pali
46	śván	kuttā	kʊttɑː	Hindi
46	śván	kuttā	kʊttɑː	Urdu
46	śván	kukur	kukur	Nepali
46	śván	kukur	kukur	Bhojpuri
46	śván	kuttā	kʊttɑː	Punjabi
46	śván	kuto	kʊto	Sindhi
46	śván	kutro	kʊtro	Gujarati
46	śván	kutrā	kʊtrɑː	Marathi
46	śván	kutro,	kʊtro	Konkani
46	śván	kukur	kukuɹ	Assamese
46	śván	kukur	kukuɾ	Bengali
46	śván	kukurô	kukuɾɔ	Oriya
46	śván	hūn	huːn	Kashmiri
46	śván	ballā	ballɑː	Sinhalese
46	śván	baḷu,	baḷju	Dhivehi
46	śván	ʒukel	ʒukel	Romani
47	yūkā	yūkā	yu:kɑː	Sanskrit
47	yūkā	ūkā	u:kɑː	Pali
47	yūkā	jū̃	dʒũː	Hindi
47	yūkā	jū̃	dʒũː	Urdu
47	yūkā	jumrā	dzumrä	Nepali
47	yūkā	līkh	li:kʰ	Bhojpuri
47	yūkā	jū̃	ʤeɪū̃	Punjabi
47	yūkā	jū̃a,	ʤeɪū̃eɪ	Sindhi
47	yūkā	jū	ʤeɪū̃	Gujarati
47	yūkā	ū	uː	Marathi
47	yūkā	ūv,	ūvi	Konkani
47	yūkā	ükoni	ükoni	Assamese
47	yūkā	ukun	ukun	Bengali
47	yūkā	ukuṇi	ukuṇi	Oriya
47	yūkā	None	None	Kashmiri
47	yūkā	ukuṇā	ukuṇɑː	Sinhalese
47	yūkā	ukunu	ukunu	Dhivehi
47	yūkā	ʒuv	ʒuv	Romani
48	sarpá	sarpá	səɾp	Sanskrit
48	sarpá	sappa,	sappa	Pali
48	sarpá	sā̃p	sɑːp	Hindi
48	sarpá	sānp	sɑːp	Urdu
48	sarpá	sarpa,	səɾp	Nepali
48	sarpá	saraph,	səɾəph	Bhojpuri
48	sarpá	sappa	sappa	Punjabi
48	sarpá	nāṅgu	ɛnāṅgu	Sindhi
48	sarpá	sāp	säp	Gujarati
48	sarpá	sāp	säp	Marathi
48	sarpá	sorop,	sorop	Konkani
48	sarpá	xap	xap	Assamese
48	sarpá	śap	xap	Bengali
48	sarpá	sapô	sapɔ	Oriya
48	sarpá	saruph	sarupʰ	Kashmiri
48	sarpá	ukuṇā	ukuṇɑː	Sinhalese
48	sarpá	nan̊nugati,	næn̊nugati	Dhivehi
48	sarpá	sap	sæp	Romani
49	kṛ́mi	kṛ́mi	kŕmi	Sanskrit
49	kṛ́mi	kimi	kiˈmi	Pali
49	kṛ́mi	kīṛā	ˈkiːɽaː	Hindi
49	kṛ́mi	kīṛā	kiːɽɑː	Urdu
49	kṛ́mi	kīrā	kiɾä	Nepali
49	kṛ́mi	kīṛā,	ˈkiːɽaː	Bhojpuri
49	kṛ́mi	kīṛā	ˈkiːɽaː	Punjabi
49	kṛ́mi	kīṛo	ˈkiːɽo	Sindhi
49	kṛ́mi	kīḍo	ˈkiɖo	Gujarati
49	kṛ́mi	aḷī	ali:	Marathi
49	kṛ́mi	kīḍo	ˈkiːᶑo	Konkani
49	kṛ́mi	pelu	pelu	Assamese
49	kṛ́mi	krimi	krimi	Bengali
49	kṛ́mi	krumi,	kɾumi	Oriya
49	kṛ́mi	kyom	kyom	Kashmiri
49	kṛ́mi	krimiyāwa,	krimiyāwɑ	Sinhalese
49	kṛ́mi	fani	fani	Dhivehi
49	kṛ́mi	kirmo	kirmo	Romani
50	vṛkṣá,	vṛkṣá,	ʋɾɪkʂ	Sanskrit
50	vṛkṣá,	rukkha	rukkʰa:	Pali
50	vṛkṣá,	peṛ	peːɽ	Hindi
50	vṛkṣá,	darxat	deˈɾæxtʰ	Urdu
50	vṛkṣá,	rūkh	rukʰ	Nepali
50	vṛkṣá,	pheṛ,	pheṛ	Bhojpuri
50	vṛkṣá,	rukkha	rukkʰa:	Punjabi
50	vṛkṣá,	vaṇu	vaṇju	Sindhi
50	vṛkṣá,	jhāḍ,	dzʱaɖ	Gujarati
50	vṛkṣá,	j̈hāḍ	dzʱaɖ	Marathi
50	vṛkṣá,	jhāḍ,	dzʱaɖ	Konkani
50	vṛkṣá,	gos	ɡɔs	Assamese
50	vṛkṣá,	gach	ɡɑs	Bengali
50	vṛkṣá,	gôchô,	ɡɔtʃʰɔ	Oriya
50	vṛkṣá,	kul	kul	Kashmiri
50	vṛkṣá,	gasa	ɡəsə	Sinhalese
50	vṛkṣá,	gas	ɡəs	Dhivehi
50	vṛkṣá,	rukh	rukʰ	Romani
51	vána	vána	ʋən	Sanskrit
51	vána	vana	vana	Pali
51	vána	jaṅgal	dʒəŋɡəl	Hindi
51	vána	jangal	dʒænɡæl	Urdu
51	vána	van,	ʋən	Nepali
51	vána	jaṅgal	dʒəŋɡəl	Bhojpuri
51	vána	jaṅgal	dʒəŋɡəl	Punjabi
51	vána	jhaṅgal	dhʒəŋɡəl	Sindhi
51	vána	jaṅgal,	dʒəŋɡəl	Gujarati
51	vána	jaṅgal	dʒəŋɡəl	Marathi
51	vána	rān	ɾɑːn	Konkani
51	vána	habi,	ɦabi	Assamese
51	vána	bôn	bɔn	Bengali
51	vána	jôṃgôlô,	dʒɔŋɡɔlɔ	Oriya
51	vána	van	væn	Kashmiri
51	vána	wana	wana	Sinhalese
51	vána	valutere	valutere	Dhivehi
51	vána	veś	veś	Romani
52	daṇḍá	daṇḍá	dɐɳɖɐ	Sanskrit
52	daṇḍá	laṭṭhi	laʈʈʰi	Pali
52	daṇḍá	ḍaṇḍā,	ɖəɳɖɑː	Hindi
52	daṇḍá	ḍanḍā	ɖəɳɖɑː	Urdu
52	daṇḍá	laṭṭhī,	lʌʈʈʰi	Nepali
52	daṇḍá	ḍaṇḍā,	ɖəɳɖɑː	Bhojpuri
52	daṇḍá	soṭī	soʈi	Punjabi
52	daṇḍá	laṭhi	None	Sindhi
52	daṇḍá	lākḍī	None	Gujarati
52	daṇḍá	kāṭhī	None	Marathi
52	daṇḍá	dāṇḍo	dɑːɳɔ	Konkani
52	daṇḍá	bari,	baɹi	Assamese
52	daṇḍá	laṭhi	laʈʰi	Bengali
52	daṇḍá	laṭhi,	laʈʰi	Oriya
52	daṇḍá	lōr	lur	Kashmiri
52	daṇḍá	kōṭuwa	keɪōṭuwa	Sinhalese
52	daṇḍá	daⁿḍigaⁿḍu	daⁿḍigaⁿḍu	Dhivehi
52	daṇḍá	kopal	kopal	Romani
53	phála	phála	pʰəl	Sanskrit
53	phála	phala	ˈpʰaɽa	Pali
53	phála	phal	pʰəl	Hindi
53	phála	phal	pʰəl	Urdu
53	phála	phal,	pʰəl	Nepali
53	phála	phal	pʰəl	Bhojpuri
53	phála	phal	pʰəl	Punjabi
53	phála	mevā	meva:	Sindhi
53	phála	phaḷ	pʰəl	Gujarati
53	phála	phaḷ	pʰəɭ̆	Marathi
53	phála	phaḷ	pʰəɭ̆	Konkani
53	phála	phol	pʰɔl	Assamese
53	phála	phôl	pʰɔl	Bengali
53	phála	phôḷô	pʰɔɭɔ	Oriya
53	phála	phal	phal	Kashmiri
53	phála	palaturu	None	Sinhalese
53	phála	mēvāeḷun̊	me:va:elunʔ	Dhivehi
53	phála	frukto	ˈfrukto	Romani
54	bī́ja	bī́ja	biːdʒ	Sanskrit
54	bī́ja	bīja	biːdʒ	Pali
54	bī́ja	bīj	biːdʒ	Hindi
54	bī́ja	bīj	biːdʒ	Urdu
54	bī́ja	bīu,	biu	Nepali
54	bī́ja	bīyā	bi:waɪɑː	Bhojpuri
54	bī́ja	bīj	biːdʒə	Punjabi
54	bī́ja	ɓiju	bi:dʒu	Sindhi
54	bī́ja	bīj	bi:dʒ	Gujarati
54	bī́ja	bī	biː	Marathi
54	bī́ja	bī	biː	Konkani
54	bī́ja	guti	ɡuti	Assamese
54	bī́ja	bici	bici	Bengali
54	bī́ja	môñji	môñdʒi	Oriya
54	bī́ja	None	None	Kashmiri
54	bī́ja	bīja	bi:dʒa	Sinhalese
54	bī́ja	oṣu	oʊṣju	Dhivehi
54	bī́ja	sumburo	sumburo	Romani
55	páttra	páttra	pɐttɾɐ	Sanskrit
55	páttra	patti	ˈpɑtːi	Pali
55	páttra	pattā	pəttɑː	Hindi
55	páttra	pattā	pətɑː	Urdu
55	páttra	pāt	pɑːt	Nepali
55	páttra	pāt,	pɑːt	Bhojpuri
55	páttra	patā	pətɑː	Punjabi
55	páttra	panu	panju	Sindhi
55	páttra	pā̃dḍũ	pā̃dḍũ	Gujarati
55	páttra	pān	pɑn	Marathi
55	páttra	pān	pɑn	Konkani
55	páttra	pat	pat	Assamese
55	páttra	pata	pata	Bengali
55	páttra	pôtrô	pɔtɾɔ	Oriya
55	páttra	pan,	pan	Kashmiri
55	páttra	koḷē	kole:	Sinhalese
55	páttra	fat̊	fæt	Dhivehi
55	páttra	patrin	patrin	Romani
56	mū́la	mū́la	mul	Sanskrit
56	mū́la	mūla	mu:l	Pali
56	mū́la	jaṛ	dʒəɽ	Hindi
56	mū́la	jaṛ	dʒəɽ	Urdu
56	mū́la	jarā	dzʌɾä	Nepali
56	mū́la	jaṛ	dʒəɽ	Bhojpuri
56	mū́la	jaṛh	dʒəh	Punjabi
56	mū́la	pāṛa	pə:ɽə	Sindhi
56	mū́la	mūḷ	mu:l	Gujarati
56	mū́la	mūḷ	mu:ɭ̆	Marathi
56	mū́la	mūḷ	mu:ɭ̆	Konkani
56	mū́la	xipa	xipa	Assamese
56	mū́la	śikôṛ	sikor	Bengali
56	mū́la	cerô,	cerô	Oriya
56	mū́la	None	None	Kashmiri
56	mū́la	mula	mu:l	Sinhalese
56	mū́la	mū	mu:	Dhivehi
56	mū́la	rikita	rikita	Romani
57	tvác	tvác	tʋɐtɕ	Sanskrit
57	tvác	taca	ˈtakə	Pali
57	tvác	chāl	tʃʰɑːl	Hindi
57	tvác	chāl	tʃʰälə	Urdu
57	tvác	rūkhko	ru:kʰko	Nepali
57	tvác	chāl,	tʃʰɑːl	Bhojpuri
57	tvác	chilla,	tʃʰillə	Punjabi
57	tvác	choᶑo	tʃoᶑo	Sindhi
57	tvác	chāl	tʃʰɑːl	Gujarati
57	tvác	j̈hāḍācī	sɑːl	Marathi
57	tvác	jhāḍāce	sɑːl	Konkani
57	tvác	bakoli	bakɔli	Assamese
57	tvác	chal	sal	Bengali
57	tvác	bôkôḷô,	bɔkɔlɔ	Oriya
57	tvác	None	None	Kashmiri
57	tvác	potu	None	Sinhalese
57	tvác	toṣi	tuṣaɪ	Dhivehi
57	tvác	korca	kɔrtʃɑ	Romani
58	púṣpa	púṣpa	pʊʂp	Sanskrit
58	púṣpa	puppha	pʊppʰɑ	Pali
58	púṣpa	phūl	pʰuːl	Hindi
58	púṣpa	phūl	pʰuːl	Urdu
58	púṣpa	phūl	pʰuːl	Nepali
58	púṣpa	phūl	pʰuːl	Bhojpuri
58	púṣpa	phulla	pʰʊlːə	Punjabi
58	púṣpa	gulu	ɡul	Sindhi
58	púṣpa	phūl	pʰuːl	Gujarati
58	púṣpa	phūl	pʰuːl	Marathi
58	púṣpa	phūl	pʰuːl	Konkani
58	púṣpa	phul	pʰul	Assamese
58	púṣpa	phul	pʰul	Bengali
58	púṣpa	phulô	pʰulɔ	Oriya
58	púṣpa	None	None	Kashmiri
58	púṣpa	mal	mɑl	Sinhalese
58	púṣpa	mā	məː	Dhivehi
58	púṣpa	luludǐ	luludǐ	Romani
59	tṛ́ṇa	tṛ́ṇa	tɾɪɳ	Sanskrit
59	tṛ́ṇa	tiṇa,	None	Pali
59	tṛ́ṇa	ghās	ɡʱɑːs	Hindi
59	tṛ́ṇa	ghās	ɡʱɑːs	Urdu
59	tṛ́ṇa	ghā̃s	ɡʱäs	Nepali
59	tṛ́ṇa	ghās	ɡʱɑːs	Bhojpuri
59	tṛ́ṇa	ghāh	ɡʱɑːh	Punjabi
59	tṛ́ṇa	gāhu	ɡɑ:ʱu	Sindhi
59	tṛ́ṇa	ghās	ɡʱɑːs	Gujarati
59	tṛ́ṇa	gavat	gavat	Marathi
59	tṛ́ṇa	taṇ	təːɳ	Konkani
59	tṛ́ṇa	ghãh	ɡʱãʱ	Assamese
59	tṛ́ṇa	gaś	gas	Bengali
59	tṛ́ṇa	ghasô	ɡʱasɔ	Oriya
59	tṛ́ṇa	None	None	Kashmiri
59	tṛ́ṇa	taṇakoḷa	taṇakoḷa	Sinhalese
59	tṛ́ṇa	vina	vinɑ	Dhivehi
59	tṛ́ṇa	char	tʃɑː	Romani
60	rájju	rájju	ɾɐddʑu	Sanskrit
60	rájju	rajju	ɾɑddʑu	Pali
60	rájju	rassī	ɾəssiː	Hindi
60	rájju	rassī	ɾəsːiː	Urdu
60	rájju	ḍorī,	ɖoːɾiː	Nepali
60	rájju	rassī	ɾəssiː	Bhojpuri
60	rájju	rassī	ɾəsiː	Punjabi
60	rájju	raso	ɾəso	Sindhi
60	rájju	dorḍũ	ɖoɾɖu:	Gujarati
60	rájju	dorī,	ɖoɾi:	Marathi
60	rájju	dorī	ɖoɾi:	Konkani
60	rájju	rosi	ɹɔsi	Assamese
60	rájju	dôṛi	ɖôɾi	Bengali
60	rájju	rôsi,	ôɾsi	Oriya
60	rájju	None	None	Kashmiri
60	rájju	kaᵐbaya	kɑᵐbaya:	Sinhalese
60	rájju	rōnu	ɾo:nu	Dhivehi
60	rájju	śelo	śelo	Romani
61	cárman,	cárman,	tɕɐɾmɐn	Sanskrit
61	cárman,	camma	ˈkamma	Pali
61	cárman,	camṛī,	tʃəmɽiː	Hindi
61	cárman,	jild	dʒild	Urdu
61	cárman,	chālā	tʃʰɑːlɑː	Nepali
61	cárman,	camṛī	tʃəmɽiː	Bhojpuri
61	cárman,	camṛī	tʃəmɽiː	Punjabi
61	cárman,	khala	kʰɑːlɑ	Sindhi
61	cárman,	cāmḍī	tʃɑːmɖi:	Gujarati
61	cárman,	tvacā	tʋətʃɑː	Marathi
61	cárman,	kāt	None	Konkani
61	cárman,	sal,	sal	Assamese
61	cárman,	camṛa	tʃɑmɽɑ	Bengali
61	cárman,	cômôṛa,	tʃômôɽɑ	Oriya
61	cárman,	None	None	Kashmiri
61	cárman,	ham	hæm	Sinhalese
61	cárman,	han̊	han̊	Dhivehi
61	cárman,	morthǐ	morthǐ	Romani
62	māṃsá	māṃsá	mɑːns	Sanskrit
62	māṃsá	maṃsa	mɑːnsɑː	Pali
62	māṃsá	mā̃s	mɑːs	Hindi
62	māṃsá	gośt	ɡoːʃt	Urdu
62	māṃsá	māsu	mäsu	Nepali
62	māṃsá	śikār,	ʃɪkɑːɾ	Bhojpuri
62	māṃsá	mās	None	Punjabi
62	māṃsá	gośt	ɡoːʃt	Sindhi
62	māṃsá	mā̃s	mɑːs	Gujarati
62	māṃsá	mās	mɑːs	Marathi
62	māṃsá	mās	mɑːs	Konkani
62	māṃsá	moṅoh,	mɔŋɔɦ	Assamese
62	māṃsá	maṅś,	maŋxɔ	Bengali
62	māṃsá	maṃsô	mãsɔ	Oriya
62	māṃsá	None	None	Kashmiri
62	māṃsá	mas	mas	Sinhalese
62	māṃsá	mas	mas	Dhivehi
62	māṃsá	mas	mas	Romani
63	rakta,	rakta,	ɾəkt	Sanskrit
63	rakta,	lohita	None	Pali
63	rakta,	xūn	kʰuːn	Hindi
63	rakta,	xūn	xuːn	Urdu
63	rakta,	ragat	ragat	Nepali
63	rakta,	ख़ūn	kʰuːn	Bhojpuri
63	rakta,	xūn,	ɛksūɛn	Punjabi
63	rakta,	ratu	ɾʊtːᵊ	Sindhi
63	rakta,	lohī	lohi:	Gujarati
63	rakta,	rakta	ɾəkt	Marathi
63	rakta,	ragat	ragat	Konkani
63	rakta,	tez	tez	Assamese
63	rakta,	rôkt	rɔkto	Bengali
63	rakta,	rôktô,	ɾɔktɔ	Oriya
63	rakta,	None	None	Kashmiri
63	rakta,	lē	leː	Sinhalese
63	rakta,	lē	leː	Dhivehi
63	rakta,	rat	ɹæt	Romani
64	ásthi	ásthi	əstʰiː	Sanskrit
64	ásthi	aṭṭhi	ətʰiː	Pali
64	ásthi	haḍḍī	ɦəɖɖiː	Hindi
64	ásthi	haḍḍī	ɦəɖɖiː	Urdu
64	ásthi	hāḍ,	ɦɑːɖ	Nepali
64	ásthi	haḍḍī	ɦəɖɖiː	Bhojpuri
64	ásthi	haḍḍī	ɦəɖːiː	Punjabi
64	ásthi	haᶑo	ɦəɖo	Sindhi
64	ásthi	hāḍkũ	hɑːɖːku	Gujarati
64	ásthi	hāḍ	hɑːɖ	Marathi
64	ásthi	hāḍ	hɑːɖ	Konkani
64	ásthi	har	ɦaɹ	Assamese
64	ásthi	haṛ	ɦaɹ	Bengali
64	ásthi	haḍô,	haɖɔ	Oriya
64	ásthi	None	None	Kashmiri
64	ásthi	kaṭu	kaṭu	Sinhalese
64	ásthi	kaṣi	kasi	Dhivehi
64	ásthi	kòkalo	keɪòˈkeɪloʊ	Romani
